No,Periode,Data Inflasi
1,Juli 2024,2.13 %
2,Juni 2024,2.51 %
3,Mei 2024,2.84 %
4,April 2024,3 %
5,Maret 2024,3.05 %
6,Februari 2024,2.75 %
7,Januari 2024,2.57 %
8,Desember 2023,2.61 %
9,November 2023,2.86 %
10,Oktober 2023,2.56 %
11,September 2023,2.28 %
12,Agustus 2023,3.27 %
13,Juli 2023,3.08 %
14,Juni 2023,3.52 %
15,Mei 2023,4 %
16,April 2023,4.33 %
17,Maret 2023,4.97 %
18,Februari 2023,5.47 %
19,Januari 2023,5.28 %
20,Desember 2022,5.51 %
21,November 2022,5.42 %
22,Oktober 2022,5.71 %
23,September 2022,5.95 %
24,Agustus 2022,4.69 %
25,Juli 2022,4.94 %
26,Juni 2022,4.35 %
27,Mei 2022,3.55 %
28,April 2022,3.47 %
29,Maret 2022,2.64 %
30,Februari 2022,2.06 %
31,Januari 2022,2.18 %
32,Desember 2021,1.87 %
33,November 2021,1.75 %
34,Oktober 2021,1.66 %
35,September 2021,1.6 %
36,Agustus 2021,1.59 %
37,Juli 2021,1.52 %
38,Juni 2021,1.33 %
39,Mei 2021,1.68 %
40,April 2021,1.42 %
41,Maret 2021,1.37 %
42,Februari 2021,1.38 %
43,Januari 2021,1.55 %
44,Desember 2020,1.68 %
45,November 2020,1.59 %
46,Oktober 2020,1.44 %
47,September 2020,1.42 %
48,Agustus 2020,1.32 %
49,Juli 2020,1.54 %
50,Juni 2020,1.96 %
51,Mei 2020,2.19 %
52,April 2020,2.67 %
53,Maret 2020,2.96 %
54,Februari 2020,2.98 %
55,Januari 2020,2.68 %
56,Desember 2019,2.72 %
57,November 2019,3 %
58,Oktober 2019,3.13 %
59,September 2019,3.39 %
60,Agustus 2019,3.49 %
61,Juli 2019,3.32 %
62,Juni 2019,3.28 %
63,Mei 2019,3.32 %
64,April 2019,2.83 %
65,Maret 2019,2.48 %
66,Februari 2019,2.57 %
67,Januari 2019,2.82 %
68,Desember 2018,3.13 %
69,November 2018,3.23 %
70,Oktober 2018,3.16 %
71,September 2018,2.88 %
72,Agustus 2018,3.2 %
73,Juli 2018,3.18 %
74,Juni 2018,3.12 %
75,Mei 2018,3.23 %
76,April 2018,3.41 %
77,Maret 2018,3.4 %
78,Februari 2018,3.18 %
79,Januari 2018,3.25 %
80,Desember 2017,3.61 %
81,November 2017,3.3 %
82,Oktober 2017,3.58 %
83,September 2017,3.72 %
84,Agustus 2017,3.82 %
85,Juli 2017,3.88 %
86,Juni 2017,4.37 %
87,Mei 2017,4.33 %
88,April 2017,4.17 %
89,Maret 2017,3.61 %
90,Februari 2017,3.83 %
91,Januari 2017,3.49 %
92,Desember 2016,3.02 %
93,November 2016,3.58 %
94,Oktober 2016,3.31 %
95,September 2016,3.07 %
96,Agustus 2016,2.79 %
97,Juli 2016,3.21 %
98,Juni 2016,3.45 %
99,Mei 2016,3.33 %
100,April 2016,3.6 %
101,Maret 2016,4.45 %
102,Februari 2016,4.42 %
103,Januari 2016,4.14 %
104,Desember 2015,3.35 %
105,November 2015,4.89 %
106,Oktober 2015,6.25 %
107,September 2015,6.83 %
108,Agustus 2015,7.18 %
109,Juli 2015,7.26 %
110,Juni 2015,7.26 %
111,Mei 2015,7.15 %
112,April 2015,6.79 %
113,Maret 2015,6.38 %
114,Februari 2015,6.29 %
115,Januari 2015,6.96 %
116,Desember 2014,8.36 %
117,November 2014,6.23 %
118,Oktober 2014,4.83 %
119,September 2014,4.53 %
120,Agustus 2014,3.99 %
121,Juli 2014,4.53 %
122,Juni 2014,6.7 %
123,Mei 2014,7.32 %
124,April 2014,7.25 %
125,Maret 2014,7.32 %
126,Februari 2014,7.75 %
127,Januari 2014,8.22 %
128,Desember 2013,8.38 %
129,November 2013,8.37 %
130,Oktober 2013,8.32 %
131,September 2013,8.4 %
132,Agustus 2013,8.79 %
133,Juli 2013,8.61 %
134,Juni 2013,5.9 %
135,Mei 2013,5.47 %
136,April 2013,5.57 %
137,Maret 2013,5.9 %
138,Februari 2013,5.31 %
139,Januari 2013,4.57 %
140,Desember 2012,4.3 %
141,November 2012,4.32 %
142,Oktober 2012,4.61 %
143,September 2012,4.31 %
144,Agustus 2012,4.58 %
145,Juli 2012,4.56 %
146,Juni 2012,4.53 %
147,Mei 2012,4.45 %
148,April 2012,4.5 %
149,Maret 2012,3.97 %
150,Februari 2012,3.56 %
151,Januari 2012,3.65 %
152,Desember 2011,3.79 %
153,November 2011,4.15 %
154,Oktober 2011,4.42 %
155,September 2011,4.61 %
156,Agustus 2011,4.79 %
157,Juli 2011,4.61 %
158,Juni 2011,5.54 %
159,Mei 2011,5.98 %
160,April 2011,6.16 %
161,Maret 2011,6.65 %
162,Februari 2011,6.84 %
163,Januari 2011,7.02 %
164,Desember 2010,6.96 %
165,November 2010,6.33 %
166,Oktober 2010,5.67 %
167,September 2010,5.8 %
168,Agustus 2010,6.44 %
169,Juli 2010,6.22 %
170,Juni 2010,5.05 %
171,Mei 2010,4.16 %
172,April 2010,3.91 %
173,Maret 2010,3.43 %
174,Februari 2010,3.81 %
175,Januari 2010,3.72 %
176,Desember 2009,2.78 %
177,November 2009,2.41 %
178,Oktober 2009,2.57 %
179,September 2009,2.83 %
180,Agustus 2009,2.75 %
181,Juli 2009,2.71 %
182,Juni 2009,3.65 %
183,Mei 2009,6.04 %
184,April 2009,7.31 %
185,Maret 2009,7.92 %
186,Februari 2009,8.6 %
187,Januari 2009,9.17 %
188,Desember 2008,11.06 %
189,November 2008,11.68 %
190,Oktober 2008,11.77 %
191,September 2008,12.14 %
192,Agustus 2008,11.85 %
193,Juli 2008,11.9 %
194,Juni 2008,11.03 %
195,Mei 2008,10.38 %
196,April 2008,8.96 %
197,Maret 2008,8.17 %
198,Februari 2008,7.4 %
199,Januari 2008,7.36 %
200,Desember 2007,6.59 %
201,November 2007,6.71 %
202,Oktober 2007,6.88 %
203,September 2007,6.95 %
204,Agustus 2007,6.51 %
205,Juli 2007,6.06 %
206,Juni 2007,5.77 %
207,Mei 2007,6.01 %
208,April 2007,6.29 %
209,Maret 2007,6.52 %
210,Februari 2007,6.3 %
211,Januari 2007,6.26 %
212,Desember 2006,6.6 %
213,November 2006,5.27 %
214,Oktober 2006,6.29 %
215,September 2006,14.55 %
216,Agustus 2006,14.9 %
217,Juli 2006,15.15 %
218,Juni 2006,15.53 %
219,Mei 2006,15.6 %
220,April 2006,15.4 %
221,Maret 2006,15.74 %
222,Februari 2006,17.92 %
223,Januari 2006,17.03 %
224,Desember 2005,17.11 %
225,November 2005,18.38 %
226,Oktober 2005,17.89 %
227,September 2005,9.06 %
228,Agustus 2005,8.33 %
229,Juli 2005,7.84 %
230,Juni 2005,7.42 %
231,Mei 2005,7.4 %
232,April 2005,8.12 %
233,Maret 2005,8.81 %
234,Februari 2005,7.15 %
235,Januari 2005,7.32 %
236,Desember 2004,6.4 %
237,November 2004,6.18 %
238,Oktober 2004,6.22 %
239,September 2004,6.27 %
240,Agustus 2004,6.67 %
241,Juli 2004,7.2 %
242,Juni 2004,6.83 %
243,Mei 2004,6.47 %
244,April 2004,5.92 %
245,Maret 2004,5.11 %
246,Februari 2004,4.6 %
247,Januari 2004,4.82 %
248,Desember 2003,5.16 %
249,November 2003,5.53 %
250,Oktober 2003,6.48 %
251,September 2003,6.33 %
252,Agustus 2003,6.51 %
253,Juli 2003,6.27 %
254,Juni 2003,6.98 %
255,Mei 2003,7.15 %
256,April 2003,7.62 %
257,Maret 2003,7.17 %
258,Februari 2003,7.6 %
259,Januari 2003,8.68 %
260,Desember 2002,0 %
